year,pres_party,midterm,house_margin,approval,net_approval,last_pres_margin,generic_margin,specials_n,specials_overperf,generic_lv_margin,generic_rv_margin,specials_implied,house_margin_pres_party
1976,R,False,14.16220145037277,,,,,0,,,,,-14.16220145037277
1978,D,True,8.892242626869475,43.5,2.5,2.2746983554858833,,0,,,,,8.892242626869475
1980,D,False,2.768601435152795,37.0,-18.0,2.2746983554858833,,0,,,,,2.768601435152795
1982,R,True,11.979708469521333,42.0,-5.0,-10.315117538844643,,0,,,,,-11.979708469521333
1984,R,False,5.2352218269178685,57.0,21.0,-10.315117538844643,,0,,,,,-5.2352218269178685
1986,R,True,10.096136463527689,62.0,36.5,-18.246702384049396,,0,,,,,-10.096136463527689
1988,R,False,8.02255172597241,53.0,16.0,-18.246702384049396,,0,,,,,-8.02255172597241
1990,R,True,8.354030733892332,74.75,58.25,-7.664910577734656,,0,,,,,-8.354030733892332
1992,R,False,6.557972488828774,38.0,-16.333333333333336,-7.664910577734656,,0,,,,,-6.557972488828774
1994,D,True,-7.045843543162779,40.5,-11.5,7.241391676307377,,0,,,,,-7.045843543162779
1996,D,False,0.750710072531698,60.0,28.0,7.241391676307377,4.463481119346093,0,,,,,0.750710072531698
1998,D,True,-0.8224156458860858,64.0,30.666666666666664,9.608048051700408,1.2448285781346506,0,,,,,-0.8224156458860858
2000,D,False,-0.36347111436394874,61.0,26.5,9.608048051700408,3.203198185731347,0,,,,,-0.36347111436394874
2002,R,True,-4.960096270382826,67.0,38.25,0.5133458369480549,-0.20496302902001667,0,,,,,4.960096270382826
2004,R,False,-2.745499920041233,52.0,6.5,0.5133458369480549,2.636987595084305,0,,,,,2.745499920041233
2006,R,True,8.165451486643782,41.5,-12.0,-2.466024073144585,10.637401037907129,0,,,,,-8.165451486643782
2008,R,False,11.06871267512168,32.0,-32.5,-2.466024073144585,9.34747531458846,0,,,,,-11.06871267512168
2010,D,True,-6.767854098139936,45.0,-2.25,7.541534557160545,-4.392494519048681,0,,,,,-6.767854098139936
2012,D,False,1.1496539879036958,47.8,2.3999999999999986,7.541534557160545,3.2772856450682184,0,,,,,1.1496539879036958
2014,D,True,-6.053086181547191,41.25,-11.75,4.019786598444858,-1.9936698122590328,0,,,,,-6.053086181547191
2016,D,False,-1.0912135040214603,51.5,7.0,4.019786598444858,3.1721890201496676,0,,,,,-1.0912135040214603
2018,R,True,8.724266983528972,40.6916964855527,-13.690448493651104,2.3250128351681787,9.676163270105539,123,9.598780487804879,7.667541529997209,11.140857390465172,11.923793322973058,-8.724266983528972
2020,R,False,3.1726255975571918,43.29143412768945,-9.826290620822533,2.3250128351681787,7.3224653587476665,81,3.7518987341772148,6.86417340628207,7.870491896363132,6.076911569345393,-3.1726255975571918
2022,D,True,-2.7790362394604355,42.02244444444444,-10.570978835978842,4.535974242257394,2.7836960930557058,84,-4.214285714285714,-0.6744735996102617,3.9378843413978135,0.3216885279716797,-2.7790362394604355
2024,D,False,-2.4702608268825594,41.745512820512815,-12.110622710622714,4.535974242257394,2.181846254601699,0,,2.6529074994644457,1.6373383867189104,,-2.4702608268825594
2026,R,True,,38.0,-14.0,-1.5001077368645404,9.103794877575327,111,12.621621621621621,9.644611736164892,8.94516895211697,11.12151388475708,
